,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
249,1,9.83,-0.01,0.35,-1.754,3.57,4.963,10.5,0.038,0.0,19.655,19.206,17.891,17.324,17.136,0.35
250,1,9.83,0.13,0.19973,-2.24,3.534,5.06,9.2,0.037,0.0,19.57,19.221,17.738,17.198,16.965,0.2
251,1,9.83,0.17,0.32911,-1.821,3.559,4.958,10.3,0.038,0.0,19.624,19.216,17.84,17.276,17.066,0.329
252,1,9.83,0.23,0.54616,-1.268,3.601,4.793,12.6,0.038,0.0,20.539,20.067,18.861,18.188,18.059,0.546
253,1,9.85,-0.71,0.8135,-0.167,3.767,4.53,10.9,0.038,0.0,16.088,15.588,15.035,14.714,14.674,0.814
254,1,9.85,-0.63,0.4815,-1.274,3.632,4.87,11.6,0.038,0.0,19.555,19.008,18.014,17.39,17.267,0.481
255,1,9.85,-0.53,0.84285,-0.157,3.762,4.515,12.1,0.038,0.0,17.261,16.741,16.177,15.848,15.807,0.843
256,1,9.85,-0.45,0.14387,-2.578,3.513,5.173,8.6,0.037,0.0,19.815,19.509,17.973,17.409,17.17,0.144
257,1,9.85,-0.37,0.48834,-1.319,3.615,4.853,12.3,0.038,0.0,20.367,19.834,18.77,18.134,18.003,0.488
258,1,9.85,-0.35,0.86931,-0.137,3.759,4.495,11.5,0.038,0.0,16.613,16.076,15.504,15.171,15.128,0.869
259,1,9.85,-0.35,0.5693,-1.093,3.635,4.772,11.7,0.038,0.0,19.203,18.664,17.662,17.015,16.903,0.569
260,1,9.85,-0.35,0.52394,-1.222,3.623,4.818,11.8,0.038,0.0,19.626,19.093,18.052,17.401,17.278,0.524
261,1,9.85,-0.33,0.63904,-0.889,3.657,4.706,11.1,0.038,0.0,18.094,17.539,16.613,15.998,15.905,0.639
262,1,9.85,-0.29,0.63633,-0.911,3.653,4.71,10.9,0.038,0.0,17.947,17.395,16.454,15.828,15.732,0.636
263,1,9.85,-0.27,0.12298,-2.787,3.488,5.213,9.3,0.037,0.0,21.038,20.824,19.117,18.565,18.321,0.123
264,1,9.85,-0.27,0.36033,-1.68,3.586,4.966,9.9,0.038,0.0,18.869,18.365,17.173,16.59,16.423,0.36
265,1,9.85,-0.25,0.83343,-0.302,3.735,4.549,11.1,0.038,0.0,16.626,16.055,15.413,15.026,14.973,0.833
266,1,9.85,-0.21,1.07055,0.433,3.788,4.132,9.4,0.038,0.0,13.086,12.591,12.108,11.844,11.81,1.071
267,1,9.85,-0.15,0.3348,-1.769,3.576,4.979,9.8,0.038,0.0,18.991,18.516,17.25,16.683,16.503,0.335
268,1,9.85,-0.15,0.22452,-2.106,3.555,5.059,10.4,0.038,0.0,20.434,20.02,18.664,18.106,17.885,0.225
269,1,9.85,-0.15,1.07724,0.412,3.784,4.141,11.5,0.038,0.0,15.241,14.734,14.24,13.97,13.935,1.077
270,1,9.85,-0.09,0.20496,-2.19,3.547,5.073,9.4,0.038,0.0,19.646,19.257,17.856,17.303,17.072,0.205
271,1,9.85,-0.07,0.5928,-1.103,3.624,4.757,10.6,0.038,0.0,18.127,17.605,16.548,15.873,15.757,0.593
272,1,9.85,0.03,0.23652,-2.082,3.547,5.028,10.6,0.038,0.0,20.576,20.193,18.779,18.226,17.996,0.237
273,1,9.85,0.05,0.87612,-0.3,3.723,4.518,10.5,0.038,0.0,16.021,15.425,14.743,14.33,14.272,0.876
274,1,9.87,-0.63,0.26103,-1.852,3.598,5.046,11.3,0.038,0.0,20.7,20.156,19.06,18.48,18.321,0.261
